total_value,cash,positions,total_return,total_trades,win_rate,sharpe_ratio,max_drawdown,volatility,date
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9094168560093571,0.054932351600197646,0.1344042758762941,2023-08-24
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9072440797441778,0.054932351600197646,0.13416426021942068,2023-08-25
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9050820460282006,0.054932351600197646,0.1339255257946474,2023-08-28
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.902930660496733,0.054932351600197646,0.13368806124374086,2023-08-10
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.9007898299532856,0.054932351600197646,0.13345185534893417,2023-08-11
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8986594623509749,0.054932351600197646,0.13321689703070158,2023-08-14
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8965394667742955,0.054932351600197646,0.13298317534557588,2023-08-15
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8944297534212393,0.054932351600197646,0.13275067948400773,2023-08-16
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8923302335857657,0.054932351600197646,0.132519398768266,2023-08-17
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8902408196406001,0.054932351600197646,0.13228932265037838,2023-08-18
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8881614250203707,0.054932351600197646,0.13206044071011092,2023-08-21
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8860919642050586,0.054932351600197646,0.13183274265298606,2023-08-22
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8840323527037697,0.054932351600197646,0.1316062183083381,2023-08-23
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8819825070388098,0.054932351600197646,0.13138085762740512,2023-08-24
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.8799423447300591,0.054932351600197646,0.13115665068145718,2023-08-25
11571.599664005034,11571.599664005034,0,0.15715996640050345,22,0.7272727272727273,0.877911784279647,0.054932351600197646,0.13093358765995874,2023-08-28
